date,etl:adj_close,etl:adj_open,etl:adj_high,etl:adj_low,price:成交筆數,price:成交金額,foreign_investors_shareholding:全體外資及陸資持股比率
2007-04-23,31.0,29.6,31.2,29.6,857.0,80936134.0,5.99
2007-04-24,32.35,32.9,33.15,32.0,1493.0,150814351.0,6.02
2007-04-25,32.3,32.45,32.55,31.5,556.0,52362998.0,5.98
2007-04-26,32.3,32.9,33.5,32.0,1178.0,108896202.0,4.39
2007-04-27,30.9,32.3,32.3,30.85,524.0,36377509.0,4.39
2007-04-30,30.8,30.8,31.9,30.3,375.0,23633894.0,4.41
2007-05-02,30.05,30.8,31.3,30.05,263.0,17405220.0,4.41
2007-05-03,29.6,30.2,30.45,28.05,413.0,31873312.0,4.64
2007-05-04,30.2,30.1,30.4,29.4,335.0,20537030.0,5.25
2007-05-07,31.5,31.0,31.5,30.3,436.0,33597721.0,5.81
2007-05-08,32.2,31.8,32.9,30.8,730.0,52287647.0,6.8
2007-05-09,31.35,32.2,32.7,31.3,426.0,25377771.0,6.8
2007-05-10,31.8,31.6,32.5,31.35,363.0,22250028.0,6.8
2007-05-11,32.5,32.2,33.1,32.2,869.0,63536223.0,6.8
2007-05-14,34.5,33.1,34.7,33.1,1682.0,133834890.0,6.8
2007-05-15,32.65,34.6,34.6,32.5,839.0,58560590.0,6.62
2007-05-16,33.5,32.5,33.9,32.45,628.0,42893836.0,6.62
2007-05-17,34.7,34.0,35.8,33.9,1832.0,167627371.0,6.36
2007-05-18,34.1,34.9,35.7,34.0,1118.0,85991960.0,6.36
2007-05-21,33.3,34.1,34.45,33.1,601.0,44560921.0,6.37
2007-05-22,33.6,33.5,34.25,33.2,464.0,33477259.0,6.25
2007-05-23,33.6,33.8,34.6,33.2,504.0,33306334.0,6.25
2007-05-24,32.9,33.8,34.0,32.9,352.0,24710900.0,6.25
2007-05-25,32.9,32.9,33.5,32.6,320.0,23719076.0,6.57
2007-05-28,32.5,33.0,33.3,32.5,230.0,13901639.0,6.7
2007-05-29,32.5,32.9,33.0,32.5,178.0,11595867.0,6.7
2007-05-30,32.5,32.6,32.8,32.5,148.0,9893992.0,6.7
2007-05-31,33.4,32.8,33.6,32.7,351.0,25696588.0,6.97
2007-06-01,33.2,33.5,33.8,32.8,230.0,15033888.0,6.3
2007-06-04,32.8,33.2,33.5,32.8,259.0,16371253.0,6.3
2007-06-05,32.45,32.8,33.0,32.25,295.0,49502210.0,7.69
2007-06-06,32.65,32.7,33.0,32.6,331.0,27357632.0,7.21
2007-06-07,34.35,32.65,34.8,32.65,1191.0,88825950.0,8.32
2007-06-08,34.95,34.8,35.8,34.5,1179.0,106268180.0,9.43
2007-06-11,35.3,36.5,36.5,35.3,799.0,63227645.0,8.88
2007-06-12,34.3,35.5,36.1,34.1,590.0,41832085.0,8.4
2007-06-13,34.0,34.3,34.8,33.5,472.0,31019050.0,7.68
2007-06-14,33.55,34.8,34.8,33.55,370.0,28593172.0,7.68
2007-06-15,33.75,33.55,34.5,33.55,428.0,30027726.0,7.68
2007-06-20,33.75,34.95,34.95,33.75,369.0,25965829.0,7.68
2007-06-21,33.0,33.3,33.7,32.85,382.0,27135850.0,7.68
2007-06-22,33.7,33.0,33.9,33.0,257.0,21315086.0,7.68
2007-06-23,35.4,33.9,36.0,33.8,782.0,59232019.0,7.68
2007-06-25,36.8,36.0,37.5,35.75,1378.0,118493589.0,7.68
2007-06-26,37.45,37.1,38.6,37.0,1052.0,87299048.0,7.57
2007-06-27,38.6,38.0,39.0,36.8,908.0,82143015.0,7.57
2007-06-28,41.3,39.9,41.3,39.0,705.0,86278923.0,7.57
2007-06-29,39.1,44.15,44.15,39.1,1435.0,142280686.0,7.5
2007-07-02,38.2,39.1,39.5,37.5,717.0,56920875.0,7.5
2007-07-03,40.85,38.75,40.85,38.3,798.0,83564965.0,8.03
2007-07-04,42.8,41.5,43.7,40.85,1099.0,122444363.0,8.02
2007-07-05,45.75,43.7,45.75,43.5,1021.0,115774406.0,8.02
2007-07-06,43.55,45.7,45.7,43.0,964.0,100444280.0,8.02
2007-07-09,43.7,43.55,45.3,41.1,942.0,93722003.0,8.02
2007-07-10,41.7,42.0,42.9,41.3,779.0,77555191.0,8.02
2007-07-11,44.6,41.7,44.6,41.5,1169.0,115341264.0,8.02
2007-07-12,47.7,46.1,47.7,45.6,942.0,115967180.0,8.02
2007-07-13,49.2,50.9,51.0,46.65,1940.0,221898044.0,8.02
2007-07-16,46.8,50.0,50.0,45.8,1436.0,172227348.0,8.02
2007-07-17,49.5,46.0,49.9,46.0,1226.0,125499332.0,8.02
2007-07-18,48.2,49.8,52.0,48.1,1211.0,129155675.0,8.02
2007-07-19,47.2,48.5,50.5,46.2,1142.0,108172040.0,8.02
2007-07-20,45.4,46.2,47.95,44.5,964.0,101303905.0,8.02
2007-07-23,45.4,44.8,46.5,44.0,813.0,80496430.0,8.64
2007-07-24,46.3,46.5,47.95,45.1,1461.0,140465316.0,9.13
2007-07-25,46.8,46.3,47.4,46.25,1050.0,108023928.0,9.59
2007-07-26,50.0,50.0,50.0,48.5,2701.0,347127750.0,9.57
2007-07-27,50.9,49.7,52.5,48.1,2240.0,305264139.0,10.88
2007-07-30,47.5,50.9,51.8,47.35,995.0,104988865.0,11.59
