date,etl:adj_close,etl:adj_open,etl:adj_high,etl:adj_low,price:成交筆數,price:成交金額,foreign_investors_shareholding:全體外資及陸資持股比率
2007-09-29,52.0,52.0,54.0,48.5,638.0,46904700.0,7.9
2007-10-01,52.1,52.7,54.0,51.1,346.0,29067244.0,7.82
2007-10-02,50.5,52.8,53.0,50.4,194.0,15923665.0,7.82
2007-10-03,50.0,50.7,50.8,48.7,170.0,11824140.0,7.82
2007-10-04,54.6,50.2,54.6,50.0,377.0,33607400.0,7.82
2007-10-05,53.8,54.4,54.7,53.0,220.0,19030592.0,7.82
2007-10-08,53.6,54.1,54.6,52.5,118.0,9314644.0,7.82
2007-10-09,52.0,53.0,53.4,51.5,78.0,5290740.0,7.82
2007-10-11,51.8,52.5,53.0,51.8,29.0,1837850.0,7.82
2007-10-12,51.5,50.5,52.0,50.5,52.0,4182115.0,7.82
2007-10-15,50.5,52.0,52.0,50.3,15.0,760200.0,7.82
2007-10-16,50.5,50.5,51.8,50.5,52.0,3198249.0,7.86
2007-10-17,51.7,50.6,52.0,50.6,51.0,4487700.0,7.86
2007-10-18,52.2,52.1,53.4,52.0,64.0,4989300.0,7.86
2007-10-19,52.3,52.0,52.4,51.1,69.0,7771260.0,7.86
2007-10-22,51.1,50.7,51.3,50.7,28.0,2346553.0,7.86
2007-10-23,54.6,51.3,54.6,51.3,171.0,21886306.0,7.86
2007-10-24,52.9,55.5,55.9,51.2,185.0,16751568.0,7.86
2007-10-25,53.4,52.7,54.2,52.0,113.0,9801900.0,7.86
2007-10-26,57.1,54.0,57.1,53.5,418.0,39432513.0,7.86
2007-10-29,57.1,58.0,61.0,57.1,429.0,41556435.0,7.86
2007-10-30,55.6,56.8,58.6,55.0,184.0,15572617.0,7.86
2007-10-31,55.8,56.5,56.5,55.0,77.0,6748780.0,7.86
2007-11-01,55.5,56.1,57.0,54.0,124.0,11129500.0,7.86
2007-11-02,54.0,54.7,55.3,54.0,66.0,6389600.0,7.86
2007-11-05,54.0,54.0,54.9,53.0,60.0,4630000.0,7.86
2007-11-06,54.1,54.1,54.2,53.7,33.0,2338215.0,7.86
2007-11-07,53.5,55.0,55.0,53.5,45.0,3531100.0,7.86
2007-11-08,51.9,53.0,53.0,50.6,68.0,5144900.0,7.86
2007-11-09,50.7,50.5,51.2,50.4,31.0,2582900.0,7.86
2007-11-12,49.8,51.0,51.0,49.1,43.0,3840780.0,7.86
2007-11-13,49.6,49.5,49.7,48.3,29.0,2162600.0,7.86
2007-11-14,50.1,50.9,50.9,49.6,46.0,4158900.0,7.86
2007-11-15,49.1,50.1,50.6,49.0,26.0,1545029.0,7.86
2007-11-16,49.0,48.0,49.0,47.7,41.0,3474550.0,7.86
2007-11-19,48.6,49.3,49.8,48.6,17.0,987700.0,7.86
