date,etl:adj_close,etl:adj_open,etl:adj_high,etl:adj_low,price:成交筆數,price:成交金額,foreign_investors_shareholding:全體外資及陸資持股比率,institutional_investors_trading_summary:外陸資買賣超股數(不含外資自營商),institutional_investors_trading_summary:外資自營商買賣超股數,institutional_investors_trading_summary:自營商買賣超股數(自行買賣),institutional_investors_trading_summary:自營商買賣超股數(避險),RSI,SMA,MACD,CMO,ATR,BBANDS_upper,BBANDS_mid,BBANDS_lower
2018-01-02,44.019851561168,44.969920299898234,45.128265089686614,43.9406791662738,388.0,30543052.0,2.94,23000.0,0.0,0.0,0.0,53.123039956445425,53.123039956445425,53.123039956445425,53.123039956445425,53.123039956445425,28.143587132524264,27.639999999999894,27.136412867475524
2018-01-03,46.55336819778198,44.33654114074474,46.71171298757035,44.09902395606218,2340.0,168187722.0,3.69,761000.0,0.0,0.0,0.0,63.000394073740495,63.000394073740495,63.000394073740495,63.000394073740495,63.000394073740495,29.422534915763745,28.07999999999989,26.73746508423604
2018-01-04,51.14536710164482,47.34509214672384,51.14536710164482,47.265919751829664,6053.0,428372774.0,4.67,998000.0,0.0,0.0,0.0,73.78305530153966,73.78305530153966,73.78305530153966,73.78305530153966,73.78305530153966,32.537265229614256,29.009999999999888,25.48273477038552
2018-01-05,50.51198794249133,51.14536710164482,52.72881499952856,48.770195254819214,5162.0,351912780.0,3.24,-1539000.0,0.0,-48000.0,0.0,70.72160207064925,70.72160207064925,70.72160207064925,70.72160207064925,70.72160207064925,33.687643252066,29.86999999999989,26.052356747933782
2018-01-08,46.87005777735873,50.51198794249133,50.51198794249133,46.87005777735873,2164.0,121529431.0,3.29,50000.0,0.0,-262000.0,0.0,56.26511603488987,56.26511603488987,56.26511603488987,56.26511603488987,56.26511603488987,33.55380381060755,30.199999999999893,26.846196189392238
2018-01-09,45.28660987947499,47.0284025671471,48.37433328034828,44.81157551010986,1548.0,86104556.0,3.44,128000.0,0.0,-190000.0,0.0,51.3502667761139,51.3502667761139,51.3502667761139,51.3502667761139,51.3502667761139,33.29011945149778,30.359999999999893,27.429880548502005
2018-01-10,45.04909269479242,45.60329945905173,46.07833382841686,44.65323072032149,703.0,36518464.0,3.36,-101000.0,0.0,0.0,0.0,50.635763395803664,50.635763395803664,50.635763395803664,50.635763395803664,50.635763395803664,33.42920235641274,30.16999999999989,26.910797643587046
2018-01-11,44.732403115215675,45.68247185394592,46.55336819778198,44.732403115215675,828.0,40991449.0,3.27,-146000.0,0.0,0.0,0.0,49.64390216625975,49.64390216625975,49.64390216625975,49.64390216625975,49.64390216625975,32.065106282578576,29.35999999999989,26.6548937174212
2018-01-12,44.17819635095636,45.128265089686614,45.84081664373429,43.70316198159124,1011.0,52627391.0,3.29,25000.0,0.0,-5000.0,0.0,47.87648706509401,47.87648706509401,47.87648706509401,47.87648706509401,47.87648706509401,29.700876855776453,28.55999999999989,27.419123144223324
2018-01-15,43.70316198159124,44.41571353563893,44.81157551010986,43.54481719180287,500.0,26559595.0,3.25,-58000.0,0.0,0.0,0.0,46.353171097815526,46.353171097815526,46.353171097815526,46.353171097815526,46.353171097815526,28.890479294741457,28.15999999999989,27.429520705258323
2018-01-16,45.2074374845808,43.54481719180287,45.2074374845808,43.54481719180287,672.0,33179753.0,3.3,23000.0,0.0,-15000.0,0.0,51.60439651568528,51.60439651568528,51.60439651568528,51.60439651568528,51.60439651568528,28.857106781218917,28.149999999999892,27.442893218780867
2018-01-17,44.17819635095636,44.890747905004055,45.761644248840106,44.019851561168,627.0,36310204.0,2.99,-216000.0,0.0,0.0,0.0,48.13277820519625,48.13277820519625,48.13277820519625,48.13277820519625,48.13277820519625,28.695438784361837,28.03999999999989,27.38456121563794
2018-01-18,44.019851561168,44.81157551010986,44.81157551010986,44.019851561168,524.0,32123457.0,2.98,-16000.0,0.0,0.0,0.0,47.60220699339677,47.60220699339677,47.60220699339677,47.60220699339677,47.60220699339677,28.588748776942264,27.949999999999893,27.31125122305752
2018-01-19,44.019851561168,44.09902395606218,44.33654114074474,44.019851561168,316.0,17429309.0,3.0,19000.0,0.0,0.0,0.0,47.60220699339678,47.60220699339678,47.60220699339678,47.60220699339678,47.60220699339678,28.5799230724057,27.929999999999893,27.280076927594088
2018-01-22,44.09902395606218,44.33654114074474,44.33654114074474,43.70316198159124,326.0,18159387.0,3.0,-15000.0,0.0,0.0,0.0,47.93501051131009,47.93501051131009,47.93501051131009,47.93501051131009,47.93501051131009,28.5548043145669,27.979999999999894,27.405195685432886
2018-01-23,44.41571353563893,44.494885930533115,44.81157551010986,44.019851561168,460.0,26000641.0,3.01,10000.0,0.0,0.0,0.0,49.32158315502792,49.32158315502792,49.32158315502792,49.32158315502792,49.32158315502792,28.065472370032413,27.879999999999892,27.69452762996737
2018-01-24,44.5740583254273,44.494885930533115,44.732403115215675,44.17819635095636,226.0,11973112.0,3.03,11000.0,0.0,0.0,0.0,50.038041563473726,50.038041563473726,50.038041563473726,50.038041563473726,50.038041563473726,28.217054001966865,27.929999999999893,27.64294599803292
2018-01-25,43.86150677137962,44.732403115215675,44.81157551010986,43.86150677137962,265.0,16620931.0,3.04,0.0,0.0,0.0,0.0,46.829659071269504,46.829659071269504,46.829659071269504,46.829659071269504,46.829659071269504,28.24105890721248,27.909999999999894,27.578941092787307
