date,etl:adj_close,etl:adj_open,etl:adj_high,etl:adj_low,price:成交筆數,price:成交金額,foreign_investors_shareholding:全體外資及陸資持股比率
2007-04-23,9.21,9.21,9.21,9.21,421.0,17410259.0,0.19
2007-04-24,9.0,9.85,9.85,8.61,676.0,21761696.0,0.19
2007-04-25,8.9,9.1,9.1,8.8,281.0,6093998.0,0.19
2007-04-26,8.51,9.09,9.09,8.51,211.0,5240014.0,0.19
2007-04-27,8.8,8.52,9.1,8.52,463.0,23828391.0,0.19
2007-04-30,8.19,8.5,8.58,8.19,356.0,14082350.0,0.19
2007-05-02,8.0,7.76,8.3,7.76,199.0,5697291.0,0.19
2007-05-03,7.45,8.0,8.0,7.44,259.0,7476970.0,0.19
2007-05-04,7.97,7.46,7.97,7.46,193.0,5579616.0,0.19
2007-05-07,8.23,8.52,8.52,8.18,335.0,8121356.0,0.19
2007-05-08,7.88,7.98,8.19,7.74,135.0,3056269.0,0.19
2007-05-09,8.24,7.88,8.43,7.88,341.0,9961810.0,0.19
2007-05-10,7.8,7.67,8.0,7.67,229.0,6261127.0,0.19
2007-05-11,7.55,8.0,8.0,7.55,229.0,5550387.0,0.19
2007-05-14,7.46,7.55,7.7,7.45,133.0,2459544.0,0.19
2007-05-15,7.55,7.46,7.7,7.46,86.0,2012138.0,0.19
2007-05-16,7.76,7.6,8.03,7.6,138.0,2683200.0,0.19
2007-05-17,7.61,7.75,7.86,7.6,78.0,1708690.0,0.19
2007-05-18,7.58,7.74,7.74,7.44,71.0,1378670.0,0.19
2007-05-21,7.49,7.46,7.56,7.1,177.0,4070212.0,0.19
2007-05-22,7.46,7.53,7.61,7.41,98.0,2347930.0,0.0
2007-05-23,7.45,7.5,7.58,7.4,74.0,1842320.0,0.0
2007-05-24,7.2,7.5,7.5,7.2,139.0,3223840.0,0.0
2007-05-25,7.31,7.2,7.4,7.2,124.0,2377604.0,0.0
2007-05-28,7.33,7.35,7.53,7.32,85.0,1868606.0,0.0
2007-05-29,7.38,7.34,7.6,7.34,78.0,1536823.0,0.0
2007-05-30,7.31,7.4,7.47,7.31,45.0,805320.0,0.0
2007-05-31,7.38,7.21,7.4,7.13,213.0,5851980.0,0.0
2007-06-01,7.16,7.33,7.33,7.15,170.0,4705651.0,0.0
2007-06-04,7.03,7.15,7.16,7.0,269.0,7706620.0,0.0
2007-06-05,6.94,7.01,7.01,6.79,227.0,6339682.0,0.0
2007-06-06,6.82,6.91,6.98,6.8,160.0,5105903.0,0.0
2007-06-07,6.91,6.8,7.2,6.76,203.0,5170596.0,0.01
