date,etl:adj_close,etl:adj_open,etl:adj_high,etl:adj_low,price:成交筆數,price:成交金額,foreign_investors_shareholding:全體外資及陸資持股比率
2011-02-23,66.6,69.6,69.6,64.3,991.0,111726800.0,0.69
2011-02-24,61.0,66.9,68.0,60.5,429.0,40979700.0,0.69
2011-02-25,65.2,61.0,66.9,61.0,453.0,41344380.0,0.69
2011-03-01,63.9,66.0,66.3,62.2,183.0,19703290.0,0.69
2011-03-02,63.7,64.0,64.3,62.4,159.0,20284469.0,0.69
2011-03-03,64.2,63.7,66.1,63.7,159.0,20610000.0,0.69
2011-03-04,68.6,65.2,68.6,63.1,403.0,48787530.0,0.69
2011-03-07,72.2,69.1,73.1,67.1,537.0,61156500.0,0.68
2011-03-08,77.2,73.5,77.2,73.5,464.0,83098100.0,0.67
2011-03-09,82.6,82.6,82.6,79.1,695.0,114144797.0,0.65
2011-03-10,78.9,81.9,82.0,78.0,422.0,67159998.0,0.65
2011-03-11,83.0,75.7,84.4,75.2,371.0,43268850.0,0.63
2011-03-14,80.6,84.0,84.0,78.5,274.0,29852100.0,0.63
2011-03-15,75.0,83.9,84.0,75.0,267.0,45933500.0,0.63
2011-03-16,74.1,73.1,76.5,70.5,234.0,24871710.0,0.63
2011-03-17,71.0,71.1,72.3,70.0,263.0,37159973.0,0.63
2011-03-18,73.0,71.5,73.8,71.5,158.0,17602000.0,0.64
2011-03-21,73.1,73.0,74.0,71.0,149.0,15405500.0,0.64
2011-03-22,78.2,73.4,78.2,73.4,260.0,37024219.0,0.61
2011-03-23,81.5,80.0,82.8,79.2,434.0,52077800.0,0.61
2011-03-24,79.9,82.0,82.0,79.7,178.0,23738474.0,0.61
2011-03-25,80.0,80.6,81.5,78.0,173.0,23505598.0,0.61
2011-03-28,77.9,80.6,80.6,77.3,111.0,13019137.0,0.61
2011-03-29,77.5,76.8,77.9,76.5,66.0,7182400.0,0.61
2011-03-30,78.5,77.5,79.7,77.5,113.0,11670400.0,0.61
2011-03-31,75.2,79.0,79.0,75.1,117.0,13344200.0,0.61
2011-04-01,75.5,75.9,76.0,74.2,62.0,9240800.0,0.61
2011-04-06,76.6,77.8,77.8,75.0,62.0,7590500.0,0.61
2011-04-07,76.6,77.0,77.1,76.3,85.0,12038200.0,0.61
2011-04-08,77.8,76.6,77.8,76.0,82.0,8464478.0,0.61
2011-04-11,77.1,80.2,80.2,76.6,132.0,16377108.0,0.61
2011-04-12,75.3,77.7,77.7,75.0,53.0,4940082.0,0.61
2011-04-13,75.0,77.0,77.0,74.0,71.0,8093924.0,0.61
2011-04-14,75.7,74.5,75.8,74.2,29.0,2801060.0,0.61
2011-04-15,73.0,75.7,75.7,72.1,56.0,6366759.0,0.61
2011-04-18,70.0,72.8,72.8,68.0,179.0,17623074.0,0.61
2011-04-19,69.0,67.5,69.0,67.5,60.0,4112781.0,0.61
2011-04-20,71.0,69.0,71.0,69.0,43.0,3641171.0,0.61
2011-04-21,69.0,70.6,70.6,68.2,76.0,6565269.0,0.61
2011-04-22,68.2,69.8,69.8,67.2,115.0,10196536.0,0.62
2011-04-25,66.5,68.2,68.2,66.0,90.0,9547566.0,0.62
2011-04-26,67.0,65.0,67.5,65.0,39.0,3356199.0,0.63
2011-04-27,65.5,67.3,67.3,65.5,62.0,5476634.0,0.64
2011-04-28,63.1,65.5,65.8,63.1,193.0,24300176.0,0.66
2011-04-29,63.0,63.1,63.1,61.1,131.0,12951900.0,0.67
2011-05-03,62.1,63.5,63.5,61.5,36.0,2972200.0,0.67
2011-05-04,65.6,61.9,65.8,61.2,106.0,12182000.0,0.67
2011-05-05,64.1,65.0,66.8,64.0,75.0,6533800.0,0.65
2011-05-06,64.5,64.0,65.5,64.0,45.0,3000942.0,0.65
2011-05-09,64.8,64.1,65.7,64.1,49.0,4941700.0,0.65
2011-05-10,64.6,65.0,65.0,64.2,25.0,2257700.0,0.65
2011-05-11,67.8,65.4,68.7,64.7,171.0,14421702.0,0.65
2011-05-12,66.3,66.8,67.6,66.0,67.0,7569402.0,0.64
2011-05-13,68.3,66.8,69.6,66.8,112.0,10338482.0,0.64
