date,etl:adj_close,etl:adj_open,etl:adj_high,etl:adj_low,price:成交筆數,price:成交金額,foreign_investors_shareholding:全體外資及陸資持股比率
2007-04-23,17.6,18.05,18.05,17.1,388.0,19916802.0,0.0
2007-04-24,16.85,17.6,17.7,16.8,180.0,6919365.0,0.0
2007-04-25,17.0,16.9,17.8,16.9,156.0,6095282.0,0.0
2007-04-26,16.6,17.5,17.5,16.6,119.0,4907330.0,0.0
2007-04-27,16.7,17.0,17.0,16.6,91.0,3418819.0,0.0
2007-04-30,16.0,16.3,16.6,15.55,137.0,6940186.0,0.0
2007-05-02,15.45,15.6,15.9,15.35,93.0,3926378.0,0.0
2007-05-03,14.85,15.45,16.0,14.55,73.0,2253350.0,0.0
2007-05-04,15.1,14.9,15.55,14.8,40.0,983045.0,0.0
2007-05-07,15.7,15.15,16.15,15.15,135.0,7026699.0,0.0
2007-05-08,15.5,15.25,15.5,15.15,64.0,2099300.0,0.0
2007-05-09,15.9,15.4,16.0,15.4,33.0,1333627.0,0.0
2007-05-10,16.0,15.9,16.15,15.75,41.0,1179539.0,0.0
2007-05-11,15.95,15.9,16.0,15.6,32.0,1088981.0,0.0
2007-05-14,15.5,15.6,15.65,15.5,18.0,357900.0,0.0
2007-05-15,15.35,15.4,15.6,15.1,28.0,1042950.0,0.0
2007-05-16,15.3,15.35,15.7,15.1,20.0,411914.0,0.0
2007-05-17,15.15,15.7,15.7,15.15,13.0,324031.0,0.0
2007-05-18,15.35,15.5,15.6,15.1,31.0,901452.0,0.0
2007-05-21,15.4,15.0,15.45,15.0,30.0,811186.0,0.0
2007-05-22,15.75,15.45,15.85,15.45,12.0,253380.0,0.0
2007-05-23,15.7,15.6,15.95,15.45,29.0,641810.0,0.0
2007-05-24,15.35,15.5,15.5,15.35,19.0,623392.0,0.0
2007-05-25,15.65,15.2,15.65,15.1,38.0,1338134.0,0.0
2007-05-28,15.6,15.7,15.75,15.4,6.0,80785.0,0.0
2007-05-29,15.6,15.8,16.0,15.6,23.0,701282.0,0.0
2007-05-30,15.5,15.6,15.9,15.4,20.0,722116.0,0.0
2007-05-31,15.5,15.85,15.85,15.5,31.0,1170505.0,0.0
2007-06-01,16.15,15.75,16.55,15.75,198.0,11154450.0,0.0
2007-06-04,15.65,16.0,16.0,15.25,56.0,2005300.0,0.0
2007-06-05,15.4,15.45,15.65,15.4,29.0,1004100.0,0.0
2007-06-06,15.5,15.3,16.0,15.3,38.0,1217314.0,0.0
2007-06-07,15.8,15.5,16.0,15.5,62.0,2168950.0,0.0
2007-06-08,16.9,16.9,16.9,16.9,118.0,8419561.0,0.0
2007-06-11,18.05,18.05,18.05,18.05,244.0,16617930.0,0.0
2007-06-12,19.3,19.3,19.3,19.3,201.0,10019265.0,0.0
2007-06-13,20.15,20.65,20.65,19.7,1148.0,73247679.0,0.0
2007-06-14,18.75,20.0,20.0,18.75,336.0,17645875.0,0.0
2007-06-15,18.0,18.1,18.75,17.6,246.0,10179889.0,0.0
2007-06-20,17.2,18.1,18.2,17.2,144.0,6961379.0,0.0
2007-06-21,17.4,17.2,17.8,17.2,120.0,5694430.0,0.0
2007-06-22,18.0,17.4,18.45,17.3,144.0,5065247.0,0.0
2007-06-23,18.6,17.7,18.6,17.6,137.0,6158000.0,0.0
2007-06-25,18.4,18.8,18.8,18.35,120.0,8146625.0,0.0
2007-06-26,17.75,18.45,18.6,17.75,63.0,2844074.0,0.0
2007-06-27,18.0,18.0,18.65,18.0,41.0,1513980.0,0.0
2007-06-28,18.0,18.2,18.25,18.0,44.0,1164224.0,0.0
2007-06-29,17.95,18.35,18.35,17.8,52.0,1550505.0,0.0
2007-07-02,18.7,18.2,18.75,18.0,116.0,6827952.0,0.4
2007-07-03,20.0,19.9,20.0,19.8,91.0,5586680.0,0.42
2007-07-04,21.1,21.4,21.4,20.6,413.0,23526499.0,0.42
2007-07-05,21.5,21.9,22.0,21.2,216.0,16739052.0,0.42
