date,etl:adj_close,etl:adj_open,etl:adj_high,etl:adj_low,price:成交筆數,price:成交金額,foreign_investors_shareholding:全體外資及陸資持股比率
2011-06-09,71.9,68.0,73.8,68.0,1431.0,221128900.0,2.67
2011-06-10,70.9,71.3,72.6,69.9,691.0,97571521.0,2.67
2011-06-13,70.9,70.5,72.4,70.0,392.0,48288220.0,2.67
2011-06-14,70.1,70.9,71.4,69.5,303.0,35542300.0,2.67
2011-06-15,73.4,70.3,73.9,69.7,677.0,95686732.0,2.44
2011-06-16,77.3,72.5,78.5,72.4,1023.0,211029425.0,2.44
2011-06-17,79.1,78.0,81.8,77.6,1083.0,174504843.0,2.44
2011-06-20,73.6,79.9,79.9,73.6,642.0,81734200.0,2.44
2011-06-21,73.9,73.6,73.9,70.1,349.0,45513349.0,2.45
2011-06-22,72.6,74.3,74.8,72.5,285.0,32875675.0,2.45
2011-06-23,72.7,73.0,74.5,72.5,240.0,30745636.0,2.45
2011-06-24,76.8,74.3,77.7,72.6,604.0,77821280.0,2.45
2011-06-27,76.0,75.5,78.6,75.0,483.0,60169774.0,2.45
2011-06-28,75.9,76.8,77.5,75.7,232.0,34173261.0,2.45
2011-06-29,76.2,76.5,77.4,76.0,145.0,15308214.0,2.45
2011-06-30,77.1,76.4,78.0,76.2,309.0,44243100.0,2.45
2011-07-01,76.9,77.0,78.8,76.8,200.0,24819700.0,2.45
2011-07-04,74.5,77.0,77.0,74.2,220.0,23582612.0,2.45
2011-07-05,74.6,77.4,77.4,74.5,109.0,12395200.0,2.45
2011-07-06,74.5,74.5,75.3,74.5,120.0,11152450.0,2.45
2011-07-07,72.1,74.9,74.9,70.5,167.0,15790500.0,2.45
2011-07-08,72.0,72.1,72.8,71.2,105.0,9125800.0,2.45
2011-07-11,70.5,71.8,71.8,70.1,130.0,12449200.0,2.45
2011-07-12,69.0,69.2,71.3,68.0,180.0,16492800.0,2.45
2011-07-13,68.8,69.0,69.9,68.3,110.0,11028800.0,2.45
2011-07-14,66.0,68.8,69.0,66.0,103.0,11912065.0,2.45
2011-07-15,65.0,66.0,66.0,64.0,242.0,26045900.0,2.45
2011-07-18,65.0,65.0,66.6,64.6,75.0,8693700.0,2.45
2011-07-19,64.8,64.9,66.5,64.7,80.0,8668099.0,2.45
2011-07-20,64.8,65.0,65.5,64.7,71.0,6685100.0,2.45
2011-07-21,66.6,65.4,67.5,65.4,158.0,15703360.0,2.45
2011-07-22,65.2,66.6,66.6,64.1,187.0,15245800.0,2.45
2011-07-25,64.0,64.5,65.1,63.0,165.0,14543300.0,2.45
2011-07-26,61.9,63.8,63.8,61.3,130.0,10629700.0,2.45
2011-07-27,63.4,62.0,63.4,61.6,163.0,21314100.0,2.45
2011-07-28,61.1,63.4,63.4,60.4,175.0,16427700.0,2.45
2011-07-29,59.9,61.1,61.7,59.1,102.0,11911400.0,2.45
2011-08-01,63.5,59.9,64.0,58.8,262.0,30094600.0,2.45
2011-08-02,61.6,63.3,63.3,61.6,110.0,9506200.0,2.45
2011-08-03,61.5,60.2,61.5,59.9,150.0,14980400.0,2.45
2011-08-04,60.4,61.5,61.5,60.3,91.0,8801900.0,2.45
2011-08-05,56.2,56.2,56.2,56.2,64.0,7868000.0,2.45
2011-08-08,52.3,52.6,54.0,52.3,189.0,26747500.0,2.45
2011-08-09,52.19602385685885,48.66083499005964,52.819880715705764,48.66083499005964,170.0,30837600.0,2.46
2011-08-10,54.067594433399606,52.3,54.067594433399606,51.988071570576544,225.0,25735500.0,2.46
2011-08-11,56.77097415506959,53.02783300198807,56.77097415506959,52.819880715705764,217.0,21089100.0,2.45
2011-08-12,59.68230616302187,57.186878727634195,60.30616302186879,57.186878727634195,251.0,27271964.0,2.45
2011-08-15,63.841351888667994,62.489662027833006,63.841351888667994,61.865805168986086,373.0,39602740.0,2.45
2011-08-16,63.42544731610339,64.46520874751491,64.46520874751491,62.90556660039762,227.0,23874600.0,2.45
2011-08-17,61.44990059642148,63.94532803180915,64.04930417495031,61.033996023856865,196.0,20598800.0,2.45
2011-08-18,61.13797216699801,60.93001988071571,61.96978131212724,60.410139165009944,129.0,10755600.0,2.45
2011-08-19,56.87495029821074,58.746520874751496,59.89025844930418,56.87495029821074,268.0,31661300.0,2.45
2011-08-22,56.87495029821074,56.87495029821074,58.22664015904573,55.10735586481114,94.0,7152200.0,2.45
2011-08-23,57.60278330019881,57.186878727634195,57.60278330019881,56.355069582504974,56.0,4346300.0,2.45
2011-08-24,57.60278330019881,58.434592445328036,58.64254473161034,56.87495029821074,52.0,3778800.0,2.45
2011-08-25,54.37952286282306,58.64254473161034,58.64254473161034,54.37952286282306,66.0,5601100.0,2.44
2011-08-26,53.13180914512923,54.58747514910537,54.691451292246526,52.0920477137177,57.0,4853599.0,2.44
2011-08-29,54.37952286282306,52.611928429423465,54.899403578528826,51.988071570576544,85.0,9933900.0,2.44
2011-08-30,56.14711729622267,54.37952286282306,57.498807157057655,54.37952286282306,72.0,6012300.0,2.44
2011-08-31,54.691451292246526,56.25109343936382,56.25109343936382,54.58747514910537,75.0,6161800.0,2.44
2011-09-01,55.31530815109345,55.835188866799214,55.835188866799214,54.691451292246526,50.0,3817400.0,2.44
2011-09-02,55.31530815109345,55.10735586481114,55.6272365805169,54.691451292246526,41.0,3754800.0,2.44
2011-09-05,55.835188866799214,54.691451292246526,56.87495029821074,54.691451292246526,62.0,5488400.0,2.44
2011-09-06,53.75566600397615,55.31530815109345,55.731212723658054,53.75566600397615,47.0,3573200.0,2.44
2011-09-07,54.067594433399606,54.067594433399606,54.48349900596422,53.96361829025845,21.0,1145100.0,2.44
2011-09-08,55.93916500994036,55.211332007952294,56.56302186878728,55.211332007952294,112.0,10443200.0,2.44
2011-09-09,58.64254473161034,56.14711729622267,58.64254473161034,56.14711729622267,215.0,18026700.0,2.44
2011-09-13,57.39483101391651,58.53856858846918,59.266401590457264,57.39483101391651,172.0,12458200.0,2.44
2011-09-14,55.10735586481114,57.60278330019881,57.60278330019881,53.75566600397615,158.0,13490300.0,2.44
2011-09-15,55.41928429423459,56.25109343936382,56.355069582504974,55.00337972166998,52.0,3455250.0,2.44
2011-09-16,56.666998011928435,56.14711729622267,56.77097415506959,55.6272365805169,51.0,4013400.0,2.44
2011-09-19,56.666998011928435,57.08290258449304,57.08290258449304,55.52326043737575,31.0,2175370.0,2.44
2011-09-20,55.6272365805169,56.666998011928435,57.186878727634195,55.6272365805169,64.0,6227000.0,2.44
2011-09-21,55.211332007952294,55.93916500994036,56.043141153081514,55.211332007952294,52.0,4064353.0,2.44
2011-09-22,54.17157057654076,54.48349900596422,55.00337972166998,54.067594433399606,54.0,3933937.0,2.44
2011-09-23,51.15626242544732,51.988071570576544,52.50795228628231,50.5324055666004,107.0,8937400.0,2.44
2011-09-26,47.62107355864811,51.15626242544732,51.15626242544732,47.62107355864811,157.0,16396700.0,2.44
2011-09-27,46.06143141153081,47.30914512922465,47.62107355864811,44.709741550695824,155.0,11661270.0,2.44
2011-09-28,44.033896620278334,46.06143141153081,46.06143141153081,43.51401590457257,142.0,10141700.0,2.44
2011-09-29,47.101192842942346,43.77395626242545,47.101192842942346,43.77395626242545,117.0,8232600.0,2.44
2011-09-30,46.06143141153081,46.78926441351889,47.72504970178927,45.957455268389666,109.0,6144700.0,2.44
2011-10-03,44.91769383697814,45.021669980119285,45.74950298210736,44.39781312127237,49.0,3660612.0,2.44
2011-10-04,45.437574552683905,44.189860834990064,45.54155069582505,44.189860834990064,49.0,3029600.0,2.44
2011-10-05,45.07365805168987,45.021669980119285,45.333598409542745,44.91769383697814,43.0,3215103.0,2.44
2011-10-06,44.709741550695824,45.69751491053678,46.68528827037773,44.50178926441352,68.0,5612221.0,2.44
2011-10-07,44.50178926441352,44.709741550695824,44.709741550695824,43.877932405566604,53.0,4014156.0,2.44
2011-10-11,44.34582504970179,44.709741550695824,45.021669980119285,44.29383697813122,34.0,1899217.0,2.44
2011-10-12,43.6699801192843,44.39781312127237,44.44980119284295,43.25407554671968,71.0,4308994.0,2.44
2011-10-13,43.25407554671968,43.721968190854874,44.189860834990064,43.202087475149106,66.0,4296740.0,2.44
2011-10-14,42.00636182902585,42.63021868787277,42.63021868787277,41.590457256461235,75.0,4537400.0,2.44
2011-10-17,44.033896620278334,42.63021868787277,44.241848906560634,42.52624254473161,90.0,6332450.0,2.44
2011-10-18,42.99413518886681,43.15009940357853,43.25407554671968,42.63021868787277,32.0,2479600.0,2.44
2011-10-19,42.890159045725646,42.99413518886681,43.56600397614314,42.890159045725646,26.0,1328000.0,2.44
2011-10-20,42.63021868787277,42.63021868787277,42.94214711729622,42.57823061630219,19.0,960489.0,2.44
2011-10-21,42.52624254473161,42.63021868787277,42.63021868787277,42.110337972167,16.0,814850.0,2.44
2011-10-24,44.033896620278334,43.046123260437376,44.08588469184891,42.94214711729622,43.0,2520350.0,2.44
2011-10-25,43.877932405566604,44.033896620278334,44.189860834990064,43.877932405566604,23.0,1527650.0,2.44
2011-10-26,42.83817097415508,43.6699801192843,44.033896620278334,42.110337972167,83.0,5659450.0,2.44
2011-10-27,41.590457256461235,41.590457256461235,41.590457256461235,40.70666003976143,132.0,7798095.0,2.44
2011-10-28,40.86262425447316,41.48648111332008,41.79840954274354,40.758648111332015,56.0,2618292.0,2.44
2011-10-31,38.471172962226646,40.5506958250497,40.5506958250497,38.00328031809145,120.0,6916910.0,2.45
2011-11-01,38.26322067594433,38.159244532803186,38.26322067594433,37.63936381709742,41.0,1696031.0,2.45
2011-11-02,36.49562624254474,37.43141153081511,37.63936381709742,36.49562624254474,56.0,2464000.0,2.45
2011-11-03,37.43141153081511,36.80755467196819,38.1072564612326,36.49562624254474,74.0,3460700.0,2.45
2011-11-04,38.471172962226646,37.58737574552684,38.991053677932406,37.58737574552684,62.0,3625350.0,2.45
2011-11-07,41.122564612326045,38.471172962226646,41.122564612326045,38.26322067594433,124.0,8460600.0,2.45
2011-11-08,42.16232604373757,43.15009940357853,43.15009940357853,42.16232604373757,134.0,7872990.0,2.45
2011-11-09,40.86262425447316,42.16232604373757,42.16232604373757,40.86262425447316,48.0,2192200.0,2.45
2011-11-10,39.30298210735587,40.5506958250497,40.5506958250497,39.09502982107356,47.0,2591515.0,2.45
2011-11-11,39.92683896620279,39.61491053677933,40.23876739562625,39.30298210735587,47.0,2859088.0,2.45
2011-11-14,39.71888667992048,41.07057654075547,41.07057654075547,39.40695825049702,49.0,2794030.0,2.45
2011-11-15,39.19900596421472,39.71888667992048,39.71888667992048,39.19900596421472,27.0,1777150.0,2.45
2011-11-16,38.471172962226646,39.30298210735587,39.30298210735587,38.471172962226646,23.0,1270000.0,2.45
2011-11-17,38.26322067594433,37.535387673956265,38.41918489065607,37.0155069582505,33.0,1700000.0,2.45
2011-11-18,38.05526838966203,37.43141153081511,39.40695825049702,37.43141153081511,19.0,1023650.0,2.45
2011-11-21,36.54761431411531,37.43141153081511,37.43141153081511,35.87176938369782,46.0,3573100.0,2.45
2011-11-22,35.767793240556664,36.39165009940358,36.54761431411531,35.71580516898609,40.0,2017450.0,2.45
2011-11-23,35.19592445328032,35.35188866799205,35.55984095427436,35.14393638170974,34.0,2309900.0,2.45
2011-11-24,35.29990059642147,33.844234592445325,36.287673956262424,33.844234592445325,35.0,1633100.0,2.45
2011-11-25,35.29990059642147,35.35188866799205,35.35188866799205,34.78001988071571,16.0,878650.0,2.45
2011-11-28,35.71580516898609,35.29990059642147,36.235685884691854,34.78001988071571,11.0,407050.0,2.45
2011-11-29,35.767793240556664,35.71580516898609,35.767793240556664,35.14393638170974,20.0,1056600.0,2.45
2011-11-30,34.98797216699801,35.767793240556664,35.767793240556664,34.98797216699801,17.0,711950.0,2.45
2011-12-01,35.97574552683897,35.55984095427436,36.287673956262424,35.40387673956263,33.0,1655600.0,2.45
2011-12-02,35.71580516898609,35.4558648111332,35.71580516898609,35.35188866799205,9.0,476650.0,2.45
2011-12-05,35.61182902584493,35.71580516898609,35.71580516898609,35.61182902584493,7.0,411700.0,2.45
