broker,corr,daily_corr,stockly_corr,TP,total_positive,total_truth,mse,precision@0.01,precision_daily@0.01,precision@0.05,precision_daily@0.05,precision@0.1,precision_daily@0.1,baseline_precision
0,0.237,0.2191,0.0968,17.0,75.5,122.6,0.0179,0.2235,0.1777,0.1701,0.1524,0.1322,0.1276,0.0457
1,0.2581,0.2339,0.1028,17.9,79.1,122.6,0.0176,0.2336,0.1862,0.187,0.1629,0.142,0.1355,0.0457
