,0
broker,0.0
corr,-0.0035
daily_corr,-0.0042
stockly_corr,-0.0004
TP,2.6
total_positive,17.9
total_truth,0.0
mse,0.0005
precision@0.01,-0.0019
precision_daily@0.01,-0.0059
precision@0.05,-0.0032
precision_daily@0.05,-0.0044
precision@0.1,-0.0032
precision_daily@0.1,-0.0038
baseline_precision,0.0
