loss,broker,corr,daily_corr,stockly_corr,TP,total_positive,total_truth,mse,precision@0.01,precision_daily@0.01,precision@0.05,precision_daily@0.05,precision@0.1,precision_daily@0.1,baseline_precision
ccc,0.5,0.2482,0.2095,0.1062,22.6,102.3,122.6,0.0191,0.2601,0.2,0.1884,0.1656,0.1425,0.1356,0.0457
mse,0.5,0.2469,0.2436,0.0934,12.3,52.3,122.6,0.0164,0.1971,0.1639,0.1688,0.1496,0.1317,0.1275,0.0457
